step,gt_x,gt_y,gt_theta,belief_x,belief_y,belief_theta,belief_prob,error
0,0.22892330586910248,-0.07207036018371582,319.60651715326736,0.3048000000000003,1.3877787807814457e-16,-50.0,0.9999999999997812,0.10464898245680353
1,0.4505077600479126,-0.5202892422676086,656.3062657234086,0.3048000000000003,-0.6095999999999999,-70.0,1.0,0.17090103213530888
2,0.4505077600479126,-0.5202892422676086,993.0043750481492,0.3048000000000003,-0.6095999999999999,-90.0,1.0,0.17090103213530888
3,0.47182130813598633,-0.9263955950737,1353.0044123868186,0.3048000000000003,-0.9144,-90.0,1.0,0.1674515203652334
0,0.23846177756786346,-0.07507328689098358,319.2245456541236,0.3048000000000003,1.3877787807814457e-16,-50.0,1.0,0.10018362221476927
1,0.45705288648605347,-0.5247597694396973,655.9242669035082,0.3048000000000003,-0.6095999999999999,-70.0,1.0,0.17429516965441214
2,0.45705288648605347,-0.5247597694396973,993.0043750481492,0.3048000000000003,-0.6095999999999999,-90.0,1.0,0.17429516965441214
3,0.4783664345741272,-0.9308661222457886,1353.0044123868186,0.3048000000000003,-0.9144,-90.0,1.0,0.1743457495684593
4,0.7457783818244934,-1.0775465965270996,1800.3791802300125,0.9144000000000002,-0.9144,10.0,1.0,0.23462749641613329
5,1.5474785566329956,-0.9052740335464478,2210.578157326554,1.5240000000000002,-0.9144,50.0,1.0,0.02518979724571302
6,1.6189326047897339,-0.51170814037323,2599.7096618150013,1.5240000000000002,-0.9144,70.0,0.999999996254627,0.4137305080143716
7,1.6843130588531494,-0.15159545838832855,2965.535905157205,1.8288000000000004,-0.30479999999999985,90.0,1.0,0.2105899041559588
8,1.671595811843872,0.3482429087162018,3348.936607724445,1.8288000000000004,1.3877787807814457e-16,90.0,0.9999686620159439,0.3820815099490528
9,1.6630587577819824,0.6836349368095398,3750.662543910289,1.5240000000000002,0.6096000000000003,150.0,1.0,0.15753891577721518
10,1.2199172973632812,0.9326929450035095,4122.315321105107,1.2192000000000005,0.9144,150.0,1.0,0.01830700282429633
11,0.3230757713317871,0.7513096332550049,4580.177106758425,0.6096,0.9144,-110.0,0.9990988115371696,0.32968864302388606
12,0.21033579111099243,0.10016385465860367,4986.787775672608,0.3048000000000003,1.3877787807814457e-16,-50.0,1.0,0.13768182356831263
13,-0.011753740720450878,-0.24050317704677582,5276.898803914093,1.3877787807814457e-16,-0.30479999999999985,-130.0,1.0,0.0653623122510352
14,-0.3715478777885437,-0.43004539608955383,5613.593689389545,-0.30479999999999985,-0.30479999999999985,-150.0,1.0,0.14192141639267716
15,-0.7769743204116821,-0.46177756786346436,5950.288574864998,-0.9143999999999998,-0.30479999999999985,-170.0,1.0,0.20863310912374275
